Date,Hour,City,Solar_MW,Wind_MW
2025-01-01,9,Delhi,0.053,0.643
2025-01-01,10,Delhi,0.028,1.289
2025-01-01,11,Delhi,0.012,0.244
2025-01-01,12,Delhi,0.004,0.622
2025-01-01,13,Delhi,0.0,0.604
2025-01-01,14,Delhi,0.0,1.142
2025-01-01,15,Delhi,0.0,0.424
2025-01-01,16,Delhi,0.0,0.666
2025-01-01,17,Delhi,0.0,0.475
2025-01-01,18,Delhi,0.0,0.733
2025-01-01,19,Delhi,0.0,0.92
2025-01-01,20,Delhi,0.0,0.424
2025-01-01,21,Delhi,0.0,1.146
2025-01-01,22,Delhi,0.0,1.044
2025-01-01,23,Delhi,0.0,0.89
2025-01-01,0,Guwahati,0.005,0.806
2025-01-01,1,Guwahati,0.014,0.302
2025-01-01,2,Guwahati,0.031,0.315
2025-01-01,3,Guwahati,0.058,0.235
2025-01-01,4,Guwahati,0.088,0.598
2025-01-01,5,Guwahati,0.108,0.107
2025-01-01,6,Guwahati,0.108,0.843
2025-01-01,7,Guwahati,0.088,0.279
2025-01-01,8,Guwahati,0.058,0.473
2025-01-01,9,Guwahati,0.031,0.362
2025-01-01,10,Guwahati,0.014,0.758
2025-01-01,11,Guwahati,0.005,0.127
2025-01-01,12,Guwahati,0.0,0.35
2025-01-01,13,Guwahati,0.0,0.339
2025-01-01,14,Guwahati,0.0,0.667
2025-01-01,15,Guwahati,0.0,0.232
2025-01-01,16,Guwahati,0.0,0.376
2025-01-01,17,Guwahati,0.0,0.262
2025-01-01,18,Guwahati,0.0,0.417
2025-01-01,19,Guwahati,0.0,0.531
2025-01-01,20,Guwahati,0.0,0.232
2025-01-01,21,Guwahati,0.0,0.67
2025-01-01,22,Guwahati,0.0,0.607
2025-01-01,23,Guwahati,0.0,0.513
2025-01-01,0,Kolkata,0.006,1.49
2025-01-01,1,Kolkata,0.016,0.596
2025-01-01,2,Kolkata,0.037,0.621
2025-01-01,3,Kolkata,0.069,0.474
2025-01-01,4,Kolkata,0.105,1.126
2025-01-01,5,Kolkata,0.129,0.232
2025-01-01,6,Kolkata,0.129,1.555
2025-01-01,7,Kolkata,0.105,0.555
2025-01-01,8,Kolkata,0.069,0.904
2025-01-01,9,Kolkata,0.037,0.706
2025-01-01,10,Kolkata,0.016,1.407
2025-01-01,11,Kolkata,0.006,0.271
2025-01-01,12,Kolkata,0.0,0.683
2025-01-01,13,Kolkata,0.0,0.664
2025-01-01,14,Kolkata,0.0,1.247
2025-01-01,15,Kolkata,0.0,0.468
2025-01-01,16,Kolkata,0.0,0.731
2025-01-01,17,Kolkata,0.0,0.524
2025-01-01,18,Kolkata,0.0,0.803
2025-01-01,19,Kolkata,0.0,1.007
2025-01-01,20,Kolkata,0.0,0.467
2025-01-01,21,Kolkata,0.0,1.252
2025-01-01,22,Kolkata,0.0,1.142
2025-01-01,23,Kolkata,0.0,0.975
2025-01-01,0,Rewa,0.0,0.172
2025-01-01,1,Rewa,0.006,0.05
2025-01-01,2,Rewa,0.018,0.053
2025-01-01,3,Rewa,0.044,0.036
2025-01-01,4,Rewa,0.083,0.12
2025-01-01,5,Rewa,0.121,0.012
2025-01-01,6,Rewa,0.137,0.182
2025-01-01,7,Rewa,0.121,0.045
2025-01-01,8,Rewa,0.083,0.089
2025-01-01,9,Rewa,0.044,0.064
2025-01-01,10,Rewa,0.018,0.16
2025-01-01,11,Rewa,0.006,0.015
2025-01-01,12,Rewa,0.0,0.061
2025-01-01,13,Rewa,0.0,0.058
2025-01-01,14,Rewa,0.0,0.137
2025-01-01,15,Rewa,0.0,0.035
2025-01-01,16,Rewa,0.0,0.067
2025-01-01,17,Rewa,0.0,0.042
2025-01-01,18,Rewa,0.0,0.076
2025-01-01,19,Rewa,0.0,0.103
2025-01-01,20,Rewa,0.0,0.035
2025-01-01,21,Rewa,0.0,0.137
2025-01-01,22,Rewa,0.0,0.122
2025-01-01,23,Rewa,0.0,0.099
2025-01-01,0,Ahmedabad,0.0,1.428
2025-01-01,1,Ahmedabad,0.006,0.569
2025-01-01,2,Ahmedabad,0.018,0.592
2025-01-01,3,Ahmedabad,0.04,0.452
2025-01-01,4,Ahmedabad,0.074,1.077
2025-01-01,5,Ahmedabad,0.112,0.22
2025-01-01,6,Ahmedabad,0.138,1.489
2025-01-01,7,Ahmedabad,0.138,0.529
2025-01-01,8,Ahmedabad,0.112,0.864
2025-01-01,9,Ahmedabad,0.074,0.674
2025-01-01,10,Ahmedabad,0.04,1.347
2025-01-01,11,Ahmedabad,0.018,0.257
2025-01-01,12,Ahmedabad,0.006,0.652
2025-01-01,13,Ahmedabad,0.0,0.634
2025-01-01,14,Ahmedabad,0.0,1.193
2025-01-01,15,Ahmedabad,0.0,0.445
2025-01-01,16,Ahmedabad,0.0,0.698
2025-01-01,17,Ahmedabad,0.0,0.499
2025-01-01,18,Ahmedabad,0.0,0.767
2025-01-01,19,Ahmedabad,0.0,0.963
2025-01-01,20,Ahmedabad,0.0,0.445
2025-01-01,21,Ahmedabad,0.0,1.198
2025-01-01,22,Ahmedabad,0.0,1.092
2025-01-01,23,Ahmedabad,0.0,0.932
2025-01-01,0,Bengaluru,0.0,2.0
2025-01-01,1,Bengaluru,0.008,2.0
2025-01-01,2,Bengaluru,0.023,2.0
2025-01-01,3,Bengaluru,0.053,2.0
2025-01-01,4,Bengaluru,0.099,2.0
2025-01-01,5,Bengaluru,0.15,1.578
2025-01-01,6,Bengaluru,0.185,2.0
2025-01-01,7,Bengaluru,0.185,2.0
2025-01-01,8,Bengaluru,0.15,2.0
2025-01-01,9,Bengaluru,0.099,2.0
2025-01-01,10,Bengaluru,0.053,2.0
2025-01-01,11,Bengaluru,0.023,1.789
2025-01-01,12,Bengaluru,0.008,2.0
2025-01-01,13,Bengaluru,0.0,2.0
2025-01-01,14,Bengaluru,0.0,2.0
2025-01-01,15,Bengaluru,0.0,2.0
2025-01-01,16,Bengaluru,0.0,2.0
2025-01-01,17,Bengaluru,0.0,2.0
2025-01-01,18,Bengaluru,0.0,2.0
2025-01-01,19,Bengaluru,0.0,2.0
2025-01-01,20,Bengaluru,0.0,2.0
2025-01-01,21,Bengaluru,0.0,2.0
2025-01-01,22,Bengaluru,0.0,2.0
2025-01-01,23,Bengaluru,0.0,2.0
2025-01-01,0,Delhi,0.0,1.367
2025-01-01,1,Delhi,0.004,0.542
2025-01-01,2,Delhi,0.012,0.564
2025-01-01,3,Delhi,0.028,0.43
2025-01-01,4,Delhi,0.053,1.03
2025-01-01,5,Delhi,0.08,0.209
2025-01-01,6,Delhi,0.098,1.426
2025-01-01,7,Delhi,0.098,0.504
2025-01-01,8,Delhi,0.08,0.825
2025-01-01,9,Delhi,0.053,0.643
2025-01-01,10,Delhi,0.028,1.289
2025-01-01,11,Delhi,0.012,0.244
2025-01-01,12,Delhi,0.004,0.622
2025-01-01,13,Delhi,0.0,0.604
2025-01-01,14,Delhi,0.0,1.142
2025-01-01,15,Delhi,0.0,0.424
2025-01-01,16,Delhi,0.0,0.666
2025-01-01,17,Delhi,0.0,0.475
2025-01-01,18,Delhi,0.0,0.733
2025-01-01,19,Delhi,0.0,0.92
2025-01-01,20,Delhi,0.0,0.424
2025-01-01,21,Delhi,0.0,1.146
2025-01-01,22,Delhi,0.0,1.044
2025-01-01,23,Delhi,0.0,0.89
2025-01-01,0,Guwahati,0.005,0.806
2025-01-01,1,Guwahati,0.014,0.302
2025-01-01,2,Guwahati,0.031,0.315
2025-01-01,3,Guwahati,0.058,0.235
2025-01-01,4,Guwahati,0.088,0.598
2025-01-01,5,Guwahati,0.108,0.107
2025-01-01,6,Guwahati,0.108,0.843
2025-01-01,7,Guwahati,0.088,0.279
2025-01-01,8,Guwahati,0.058,0.473
2025-01-01,9,Guwahati,0.031,0.362
2025-01-01,10,Guwahati,0.014,0.758
2025-01-01,11,Guwahati,0.005,0.127
2025-01-01,12,Guwahati,0.0,0.35
2025-01-01,13,Guwahati,0.0,0.339
2025-01-01,14,Guwahati,0.0,0.667
2025-01-01,15,Guwahati,0.0,0.232
2025-01-01,16,Guwahati,0.0,0.376
2025-01-01,17,Guwahati,0.0,0.262
2025-01-01,18,Guwahati,0.0,0.417
2025-01-01,19,Guwahati,0.0,0.531
2025-01-01,20,Guwahati,0.0,0.232
2025-01-01,21,Guwahati,0.0,0.67
2025-01-01,22,Guwahati,0.0,0.607
2025-01-01,23,Guwahati,0.0,0.513
2025-01-01,0,Kolkata,0.006,1.49
2025-01-01,1,Kolkata,0.016,0.596
2025-01-01,2,Kolkata,0.037,0.621
2025-01-01,3,Kolkata,0.069,0.474
2025-01-01,4,Kolkata,0.105,1.126
2025-01-01,5,Kolkata,0.129,0.232
2025-01-01,6,Kolkata,0.129,1.555
2025-01-01,7,Kolkata,0.105,0.555
2025-01-01,8,Kolkata,0.069,0.904
2025-01-01,9,Kolkata,0.037,0.706
2025-01-01,10,Kolkata,0.016,1.407
2025-01-01,11,Kolkata,0.006,0.271
2025-01-01,12,Kolkata,0.0,0.683
2025-01-01,13,Kolkata,0.0,0.664
2025-01-01,14,Kolkata,0.0,1.247
2025-01-01,15,Kolkata,0.0,0.468
2025-01-01,16,Kolkata,0.0,0.731
2025-01-01,17,Kolkata,0.0,0.524
2025-01-01,18,Kolkata,0.0,0.803
2025-01-01,19,Kolkata,0.0,1.007
2025-01-01,20,Kolkata,0.0,0.467
2025-01-01,21,Kolkata,0.0,1.252
2025-01-01,22,Kolkata,0.0,1.142
2025-01-01,23,Kolkata,0.0,0.975
2025-01-01,0,Rewa,0.0,0.172
2025-01-01,1,Rewa,0.006,0.05
2025-01-01,2,Rewa,0.018,0.053
2025-01-01,3,Rewa,0.044,0.036
2025-01-01,4,Rewa,0.083,0.12
2025-01-01,5,Rewa,0.121,0.012
2025-01-01,6,Rewa,0.137,0.182
2025-01-01,7,Rewa,0.121,0.045
2025-01-01,8,Rewa,0.083,0.089
2025-01-01,9,Rewa,0.044,0.064
2025-01-01,10,Rewa,0.018,0.16
2025-01-01,11,Rewa,0.006,0.015
2025-01-01,12,Rewa,0.0,0.061
2025-01-01,13,Rewa,0.0,0.058
2025-01-01,14,Rewa,0.0,0.137
2025-01-01,15,Rewa,0.0,0.035
2025-01-01,16,Rewa,0.0,0.067
2025-01-01,17,Rewa,0.0,0.042
2025-01-01,18,Rewa,0.0,0.076
2025-01-01,19,Rewa,0.0,0.103
2025-01-01,20,Rewa,0.0,0.035
2025-01-01,21,Rewa,0.0,0.137
2025-01-01,22,Rewa,0.0,0.122
2025-01-01,23,Rewa,0.0,0.099
2025-01-02,0,Ahmedabad,0.0,0.928
2025-01-02,1,Ahmedabad,0.006,1.086
2025-01-02,2,Ahmedabad,0.018,0.381
2025-01-02,3,Ahmedabad,0.04,2.0
2025-01-02,4,Ahmedabad,0.075,0.465
2025-01-02,5,Ahmedabad,0.113,0.762
2025-01-02,6,Ahmedabad,0.139,1.364
2025-01-02,7,Ahmedabad,0.139,0.624
2025-01-02,8,Ahmedabad,0.113,0.686
2025-01-02,9,Ahmedabad,0.075,0.738
2025-01-02,10,Ahmedabad,0.04,1.391
2025-01-02,11,Ahmedabad,0.018,2.0
2025-01-02,12,Ahmedabad,0.006,1.131
2025-01-02,13,Ahmedabad,0.0,0.666
2025-01-02,14,Ahmedabad,0.0,1.384
2025-01-02,15,Ahmedabad,0.0,0.855
2025-01-02,16,Ahmedabad,0.0,1.103
2025-01-02,17,Ahmedabad,0.0,1.758
2025-01-02,18,Ahmedabad,0.0,0.797
2025-01-02,19,Ahmedabad,0.0,1.116
2025-01-02,20,Ahmedabad,0.0,0.749
2025-01-02,21,Ahmedabad,0.0,1.04
2025-01-02,22,Ahmedabad,0.0,1.236
2025-01-02,23,Ahmedabad,0.0,0.71
2025-01-02,0,Bengaluru,0.0,2.0
2025-01-02,1,Bengaluru,0.008,2.0
2025-01-02,2,Bengaluru,0.023,1.494
2025-01-02,3,Bengaluru,0.053,2.0
2025-01-02,4,Bengaluru,0.099,1.778
2025-01-02,5,Bengaluru,0.15,2.0
2025-01-02,6,Bengaluru,0.185,2.0
2025-01-02,7,Bengaluru,0.185,2.0
2025-01-02,8,Bengaluru,0.15,2.0
2025-01-02,9,Bengaluru,0.099,2.0
2025-01-02,10,Bengaluru,0.053,2.0
2025-01-02,11,Bengaluru,0.023,2.0
2025-01-02,12,Bengaluru,0.008,2.0
2025-01-02,13,Bengaluru,0.0,2.0
2025-01-02,14,Bengaluru,0.0,2.0
2025-01-02,15,Bengaluru,0.0,2.0
2025-01-02,16,Bengaluru,0.0,2.0
2025-01-02,17,Bengaluru,0.0,2.0
2025-01-02,18,Bengaluru,0.0,2.0
2025-01-02,19,Bengaluru,0.0,2.0
2025-01-02,20,Bengaluru,0.0,2.0
2025-01-02,21,Bengaluru,0.0,2.0
2025-01-02,22,Bengaluru,0.0,2.0
2025-01-02,23,Bengaluru,0.0,2.0
2025-01-02,0,Delhi,0.0,0.817
2025-01-02,1,Delhi,0.005,0.959
2025-01-02,2,Delhi,0.014,0.331
2025-01-02,3,Delhi,0.031,1.842
2025-01-02,4,Delhi,0.058,0.406
2025-01-02,5,Delhi,0.088,0.67
2025-01-02,6,Delhi,0.109,1.208
2025-01-02,7,Delhi,0.109,0.547
2025-01-02,8,Delhi,0.088,0.602
2025-01-02,9,Delhi,0.058,0.648
2025-01-02,10,Delhi,0.031,1.232
2025-01-02,11,Delhi,0.014,2.0
2025-01-02,12,Delhi,0.005,0.999
2025-01-02,13,Delhi,0.0,0.584
2025-01-02,14,Delhi,0.0,1.226
2025-01-02,15,Delhi,0.0,0.753
2025-01-02,16,Delhi,0.0,0.974
2025-01-02,17,Delhi,0.0,1.561
2025-01-02,18,Delhi,0.0,0.701
2025-01-02,19,Delhi,0.0,0.986
2025-01-02,20,Delhi,0.0,0.658
2025-01-02,21,Delhi,0.0,0.918
2025-01-02,22,Delhi,0.0,1.093
2025-01-02,23,Delhi,0.0,0.623
2025-01-02,0,Guwahati,0.005,0.119
2025-01-02,1,Guwahati,0.014,0.146
2025-01-02,2,Guwahati,0.031,0.035
2025-01-02,3,Guwahati,0.057,0.326
2025-01-02,4,Guwahati,0.087,0.047
2025-01-02,5,Guwahati,0.107,0.092
2025-01-02,6,Guwahati,0.107,0.195
2025-01-02,7,Guwahati,0.087,0.071
2025-01-02,8,Guwahati,0.057,0.08
2025-01-02,9,Guwahati,0.031,0.088
2025-01-02,10,Guwahati,0.014,0.2
2025-01-02,11,Guwahati,0.005,0.422
2025-01-02,12,Guwahati,0.0,0.154
2025-01-02,13,Guwahati,0.0,0.077
2025-01-02,14,Guwahati,0.0,0.198
2025-01-02,15,Guwahati,0.0,0.107
2025-01-02,16,Guwahati,0.0,0.149
2025-01-02,17,Guwahati,0.0,0.267
2025-01-02,18,Guwahati,0.0,0.098
2025-01-02,19,Guwahati,0.0,0.151
2025-01-02,20,Guwahati,0.0,0.09
2025-01-02,21,Guwahati,0.0,0.138
2025-01-02,22,Guwahati,0.0,0.172
2025-01-02,23,Guwahati,0.0,0.084
2025-01-02,0,Kolkata,0.006,0.334
2025-01-02,1,Kolkata,0.017,0.398
2025-01-02,2,Kolkata,0.038,0.12
2025-01-02,3,Kolkata,0.071,0.811
2025-01-02,4,Kolkata,0.107,0.152
2025-01-02,5,Kolkata,0.132,0.267
2025-01-02,6,Kolkata,0.132,0.513
2025-01-02,7,Kolkata,0.107,0.213
2025-01-02,8,Kolkata,0.071,0.237
2025-01-02,9,Kolkata,0.038,0.258
2025-01-02,10,Kolkata,0.017,0.524
2025-01-02,11,Kolkata,0.006,1.025
2025-01-02,12,Kolkata,0.0,0.416
2025-01-02,13,Kolkata,0.0,0.229
2025-01-02,14,Kolkata,0.0,0.521
2025-01-02,15,Kolkata,0.0,0.304
2025-01-02,16,Kolkata,0.0,0.405
2025-01-02,17,Kolkata,0.0,0.678
2025-01-02,18,Kolkata,0.0,0.281
2025-01-02,19,Kolkata,0.0,0.41
2025-01-02,20,Kolkata,0.0,0.262
2025-01-02,21,Kolkata,0.0,0.379
2025-01-02,22,Kolkata,0.0,0.46
2025-01-02,23,Kolkata,0.0,0.247
2025-01-02,0,Rewa,0.0,0.057
2025-01-02,1,Rewa,0.006,0.072
2025-01-02,2,Rewa,0.02,0.014
2025-01-02,3,Rewa,0.048,0.174
2025-01-02,4,Rewa,0.089,0.02
2025-01-02,5,Rewa,0.13,0.043
2025-01-02,6,Rewa,0.148,0.099
2025-01-02,7,Rewa,0.13,0.031
2025-01-02,8,Rewa,0.089,0.036
2025-01-02,9,Rewa,0.048,0.041
2025-01-02,10,Rewa,0.02,0.101
2025-01-02,11,Rewa,0.006,0.23
2025-01-02,12,Rewa,0.0,0.076
2025-01-02,13,Rewa,0.0,0.035
2025-01-02,14,Rewa,0.0,0.101
2025-01-02,15,Rewa,0.0,0.051
2025-01-02,16,Rewa,0.0,0.073
2025-01-02,17,Rewa,0.0,0.14
2025-01-02,18,Rewa,0.0,0.046
2025-01-02,19,Rewa,0.0,0.074
2025-01-02,20,Rewa,0.0,0.041
2025-01-02,21,Rewa,0.0,0.067
2025-01-02,22,Rewa,0.0,0.086
2025-01-02,23,Rewa,0.0,0.038
2025-01-02,0,Ahmedabad,0.0,0.928
2025-01-02,1,Ahmedabad,0.006,1.086
2025-01-02,2,Ahmedabad,0.018,0.381
2025-01-02,3,Ahmedabad,0.04,2.0
2025-01-02,4,Ahmedabad,0.075,0.465
2025-01-02,5,Ahmedabad,0.113,0.762
2025-01-02,6,Ahmedabad,0.139,1.364
2025-01-02,7,Ahmedabad,0.139,0.624
2025-01-02,8,Ahmedabad,0.113,0.686
2025-01-02,9,Ahmedabad,0.075,0.738
2025-01-02,10,Ahmedabad,0.04,1.391
2025-01-02,11,Ahmedabad,0.018,2.0
2025-01-02,12,Ahmedabad,0.006,1.131
2025-01-02,13,Ahmedabad,0.0,0.666
2025-01-02,14,Ahmedabad,0.0,1.384
2025-01-02,15,Ahmedabad,0.0,0.855
2025-01-02,16,Ahmedabad,0.0,1.103
2025-01-02,17,Ahmedabad,0.0,1.758
2025-01-02,18,Ahmedabad,0.0,0.797
2025-01-02,19,Ahmedabad,0.0,1.116
2025-01-02,20,Ahmedabad,0.0,0.749
2025-01-02,21,Ahmedabad,0.0,1.04
2025-01-02,22,Ahmedabad,0.0,1.236
2025-01-02,23,Ahmedabad,0.0,0.71
2025-01-02,0,Bengaluru,0.0,2.0
2025-01-02,1,Bengaluru,0.008,2.0
2025-01-02,2,Bengaluru,0.023,1.494
2025-01-02,3,Bengaluru,0.053,2.0
2025-01-02,4,Bengaluru,0.099,1.778
2025-01-02,5,Bengaluru,0.15,2.0
2025-01-02,6,Bengaluru,0.185,2.0
2025-01-02,7,Bengaluru,0.185,2.0
2025-01-02,8,Bengaluru,0.15,2.0
2025-01-02,9,Bengaluru,0.099,2.0
2025-01-02,10,Bengaluru,0.053,2.0
2025-01-02,11,Bengaluru,0.023,2.0
2025-01-02,12,Bengaluru,0.008,2.0
2025-01-02,13,Bengaluru,0.0,2.0
2025-01-02,14,Bengaluru,0.0,2.0
2025-01-02,15,Bengaluru,0.0,2.0
2025-01-02,16,Bengaluru,0.0,2.0
2025-01-02,17,Bengaluru,0.0,2.0
2025-01-02,18,Bengaluru,0.0,2.0
2025-01-02,19,Bengaluru,0.0,2.0
2025-01-02,20,Bengaluru,0.0,2.0
2025-01-02,21,Bengaluru,0.0,2.0
2025-01-02,22,Bengaluru,0.0,2.0
2025-01-02,23,Bengaluru,0.0,2.0
2025-01-02,0,Delhi,0.0,0.817
2025-01-02,1,Delhi,0.005,0.959
2025-01-02,2,Delhi,0.014,0.331
2025-01-02,3,Delhi,0.031,1.842
2025-01-02,4,Delhi,0.058,0.406
2025-01-02,5,Delhi,0.088,0.67
2025-01-02,6,Delhi,0.109,1.208
2025-01-02,7,Delhi,0.109,0.547
2025-01-02,8,Delhi,0.088,0.602
2025-01-02,9,Delhi,0.058,0.648
2025-01-02,10,Delhi,0.031,1.232
2025-01-02,11,Delhi,0.014,2.0
2025-01-02,12,Delhi,0.005,0.999
2025-01-02,13,Delhi,0.0,0.584
2025-01-02,14,Delhi,0.0,1.226
2025-01-02,15,Delhi,0.0,0.753
2025-01-02,16,Delhi,0.0,0.974
2025-01-02,17,Delhi,0.0,1.561
2025-01-02,18,Delhi,0.0,0.701
2025-01-02,19,Delhi,0.0,0.986
2025-01-02,20,Delhi,0.0,0.658
2025-01-02,21,Delhi,0.0,0.918
2025-01-02,22,Delhi,0.0,1.093
2025-01-02,23,Delhi,0.0,0.623
2025-01-02,0,Guwahati,0.005,0.119
2025-01-02,1,Guwahati,0.014,0.146
2025-01-02,2,Guwahati,0.031,0.035
2025-01-02,3,Guwahati,0.057,0.326
2025-01-02,4,Guwahati,0.087,0.047
2025-01-02,5,Guwahati,0.107,0.092
2025-01-02,6,Guwahati,0.107,0.195
2025-01-02,7,Guwahati,0.087,0.071
2025-01-02,8,Guwahati,0.057,0.08
2025-01-02,9,Guwahati,0.031,0.088
2025-01-02,10,Guwahati,0.014,0.2
2025-01-02,11,Guwahati,0.005,0.422
2025-01-02,12,Guwahati,0.0,0.154
2025-01-02,13,Guwahati,0.0,0.077
2025-01-02,14,Guwahati,0.0,0.198
2025-01-02,15,Guwahati,0.0,0.107
2025-01-02,16,Guwahati,0.0,0.149
2025-01-02,17,Guwahati,0.0,0.267
2025-01-02,18,Guwahati,0.0,0.098
2025-01-02,19,Guwahati,0.0,0.151
2025-01-02,20,Guwahati,0.0,0.09
2025-01-02,21,Guwahati,0.0,0.138
2025-01-02,22,Guwahati,0.0,0.172
2025-01-02,23,Guwahati,0.0,0.084
2025-01-02,0,Kolkata,0.006,0.334
2025-01-02,1,Kolkata,0.017,0.398
2025-01-02,2,Kolkata,0.038,0.12
2025-01-02,3,Kolkata,0.071,0.811
2025-01-02,4,Kolkata,0.107,0.152
2025-01-02,5,Kolkata,0.132,0.267
2025-01-02,6,Kolkata,0.132,0.513
2025-01-02,7,Kolkata,0.107,0.213
2025-01-02,8,Kolkata,0.071,0.237
2025-01-02,9,Kolkata,0.038,0.258
2025-01-02,10,Kolkata,0.017,0.524
2025-01-02,11,Kolkata,0.006,1.025
2025-01-02,12,Kolkata,0.0,0.416
2025-01-02,13,Kolkata,0.0,0.229
2025-01-02,14,Kolkata,0.0,0.521
2025-01-02,15,Kolkata,0.0,0.304
2025-01-02,16,Kolkata,0.0,0.405
2025-01-02,17,Kolkata,0.0,0.678
2025-01-02,18,Kolkata,0.0,0.281
2025-01-02,19,Kolkata,0.0,0.41
2025-01-02,20,Kolkata,0.0,0.262
2025-01-02,21,Kolkata,0.0,0.379
2025-01-02,22,Kolkata,0.0,0.46
2025-01-02,23,Kolkata,0.0,0.247
2025-01-02,0,Rewa,0.0,0.057
2025-01-02,1,Rewa,0.006,0.072
2025-01-02,2,Rewa,0.02,0.014
2025-01-02,3,Rewa,0.048,0.174
2025-01-02,4,Rewa,0.089,0.02
2025-01-02,5,Rewa,0.13,0.043
2025-01-02,6,Rewa,0.148,0.099
2025-01-02,7,Rewa,0.13,0.031
2025-01-02,8,Rewa,0.089,0.036
2025-01-02,9,Rewa,0.048,0.041
2025-01-02,10,Rewa,0.02,0.101
2025-01-02,11,Rewa,0.006,0.23
2025-01-02,12,Rewa,0.0,0.076
2025-01-02,13,Rewa,0.0,0.035
2025-01-02,14,Rewa,0.0,0.101
2025-01-02,15,Rewa,0.0,0.051
2025-01-02,16,Rewa,0.0,0.073
2025-01-02,17,Rewa,0.0,0.14
2025-01-02,18,Rewa,0.0,0.046
2025-01-02,19,Rewa,0.0,0.074
2025-01-02,20,Rewa,0.0,0.041
2025-01-02,21,Rewa,0.0,0.067
2025-01-02,22,Rewa,0.0,0.086
2025-01-02,23,Rewa,0.0,0.038
2025-01-03,0,Ahmedabad,0.0,1.512
2025-01-03,1,Ahmedabad,0.006,0.907
2025-01-03,2,Ahmedabad,0.018,0.786
2025-01-03,3,Ahmedabad,0.041,0.29
2025-01-03,4,Ahmedabad,0.076,0.665
2025-01-03,5,Ahmedabad,0.115,0.642
2025-01-03,6,Ahmedabad,0.141,0.726
2025-01-03,7,Ahmedabad,0.141,0.565
2025-01-03,8,Ahmedabad,0.115,0.739
2025-01-03,9,Ahmedabad,0.076,0.607
2025-01-03,10,Ahmedabad,0.041,0.397
2025-01-03,11,Ahmedabad,0.018,1.085
2025-01-03,12,Ahmedabad,0.006,1.084
2025-01-03,13,Ahmedabad,0.0,1.471
2025-01-03,14,Ahmedabad,0.0,0.77
2025-01-03,15,Ahmedabad,0.0,0.627
2025-01-03,16,Ahmedabad,0.0,0.587
2025-01-03,17,Ahmedabad,0.0,0.349
2025-01-03,18,Ahmedabad,0.0,1.127
2025-01-03,19,Ahmedabad,0.0,0.445
2025-01-03,20,Ahmedabad,0.0,0.426
2025-01-03,21,Ahmedabad,0.0,0.688
2025-01-03,22,Ahmedabad,0.0,1.359
2025-01-03,23,Ahmedabad,0.0,0.834
